getpwuid_r did not find a match for uid 501
Filtering the log data using "subsystem == "kc.debug""
Timestamp               Ty Process[PID:TID]
2026-09-08 16:27:52.616 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=333.6729761958122 prev=333.120074570179 kbH=335.0 frameY=540.3270238041878 anim=set from=0.0 to=335.0 inc=true fin=false last=333.640885067436
2026-09-08 16:27:52.616 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] EMIT onKeyboardMove pos=334.0424152890876 progress=0.997141538176381
2026-09-08 16:27:52.633 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[position] crossFade=false opacity=1.0 frameY=539.9377363324165 windowH=874.0 -> position=334.06226366758347 presentation=set
2026-09-08 16:27:52.633 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=334.06226366758347 prev=333.6729761958122 kbH=335.0 frameY=539.9377363324165 anim=set from=0.0 to=335.0 inc=true fin=false last=334.0424152890876
2026-09-08 16:27:52.633 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] EMIT onKeyboardMove pos=334.324431345351 progress=0.9979833771503015
2026-09-08 16:27:52.650 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[position] crossFade=false opacity=1.0 frameY=539.6606864929199 windowH=874.0 -> position=334.3393135070801 presentation=set
2026-09-08 16:27:52.650 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=334.3393135070801 prev=334.06226366758347 kbH=335.0 frameY=539.6606864929199 anim=set from=0.0 to=335.0 inc=true fin=false last=334.324431345351
2026-09-08 16:27:52.650 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] EMIT onKeyboardMove pos=334.52482172821686 progress=0.9985815573976623
2026-09-08 16:27:52.666 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[position] crossFade=false opacity=1.0 frameY=539.4643255472183 windowH=874.0 -> position=334.5356744527817 presentation=set
2026-09-08 16:27:52.666 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=334.5356744527817 prev=334.3393135070801 kbH=335.0 frameY=539.4643255472183 anim=set from=0.0 to=335.0 inc=true fin=false last=334.52482172821686
2026-09-08 16:27:52.666 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] EMIT onKeyboardMove pos=334.6665191453149 progress=0.999004534762134
